382,387,9304.06,9131.25
梅翰林,梅翰林之子,父亲,1,0.9
梅翰林之子,薛宝琴,夫,1,1
檀云,贾宝玉,丫鬟,1,0.6
水溶,北静郡王,孙子,1,0.7
湘云母,史湘云爷爷,儿媳,1,0.7
潘又安,秦思祺,男友,1,0.9
炒豆儿,尤氏,丫鬟,1,0.6
焦大,贾演,奴仆,1,0.6
焦大,贾演,奴仆,1,0.6
牛继宗,牛清,孙子,1,0.7
王仁,王夫人之大兄凤姐之父,子,1,0.9
王住儿媳妇,迎春乳母,子媳,1,0.7
王信,贾琏,奴仆,1,0.6
王信媳妇,贾琏,奴仆,1,0.6
王善保,邢夫人,奴仆,1,0.6
王夫人,凤姐之祖王夫人之父,女,1,0.9
王夫人,贾政,妻,1,1
王夫人之大兄凤姐之父,凤姐之祖王夫人之父,子,1,0.9
王奶奶,卜世仁,邻居,1,0.6
王嬷嬷,林黛玉,乳母,1,0.6
王嬷嬷,贾宝玉,乳母,1,0.6
王子胜,凤姐之祖王夫人之父,子,1,0.9
王子腾,凤姐之祖王夫人之父,子,1,0.9
王子腾之女,王子腾,女,1,0.9
王子腾夫人,王子腾,妻,1,1
王成,王成父,子,1,0.9
王成父,凤姐之祖王夫人之父,侄,1,0.7
王板儿,王狗儿,子,1,0.9
王熙凤,贾蓉,私通,1,0.8
王熙凤,王夫人之大兄凤姐之父,女,1,0.9
王熙凤,贾琏,妻,1,1
王狗儿,王成,子,1,0.9
王老爷,贾化,友人,1,0.7
王荣,贾宝玉,奴仆,1,0.6
王青儿,王狗儿,女,1,0.9
玻璃,贾母,丫鬟,1,0.6
珍珠,贾母,丫鬟,1,0.6
琥珀,贾母,丫鬟,1,0.6
瑞珠,秦可卿,丫鬟,1,0.6
甄夫人,甄应嘉,妻,1,1
甄宝玉,李绮,夫,1,1
甄宝玉,李绮,夫,1,1
甄宝玉,甄应嘉,子,1,0.9
甄应嘉,甄宝玉祖母,子,1,0.9
白玉钏,王夫人,丫鬟,1,0.6
白老媳妇,白金钏,母亲,1,0.9
白老媳妇,白玉钏,母亲,1,0.9
白金钏,王夫人,丫鬟,1,0.6
皇太后,太上皇,妻,1,1
皇帝,太上皇,子,1,0.9
石光珠,缮国公,孙子,1,0.7
碧月,李纨,丫鬟,1,0.6
碧痕,贾宝玉,丫鬟,1,0.6
