296,328,7772.77,7946.2
太祖皇帝,先皇,父亲,1,0.9
娄氏,贾源,重孙媳妇,1,0.7
娇红,贾赦,妾,1,0.7
媚人,贾宝玉,丫鬟,1,0.6
嫣红,贾赦,妾,1,0.7
孙亲太太,孙绍祖,母亲,1,0.9
孙绍祖,贾迎春,夫,1,1
宝珠,秦可卿,丫鬟,1,0.6
宝蟾,夏金桂,丫鬟,1,0.6
宝钗祖父,薛公,子,1,0.9
寿儿,贾珍,奴仆,1,0.6
小吉祥,赵姨娘,丫鬟,1,0.6
小舍儿,夏金桂,丫鬟,1,0.6
小蝉,贾探春,丫鬟,1,0.6
小螺,薛宝琴,丫鬟,1,0.6
小霞,彩霞,妹,1,0.8
小鸠儿,何春燕,妹,1,0.8
小鹊,赵姨娘,丫鬟,1,0.6
尤三姐,柳湘莲,女友,1,0.9
尤三姐,尤老娘,女,1,0.9
尤二姐,贾琏,妾,1,0.7
尤二姐,贾琏,妾,1,0.7
尤二姐,尤老娘,女,1,0.9
尤氏,尤老娘,女,1,0.9
尤氏,贾珍,妻,1,1
平儿,贾琏,妾,1,0.7
庆儿,贾琏,奴仆,1,0.6
引泉,贾宝玉,奴仆,1,0.6
张大老爷,邢夫人,老亲,1,0.7
张大老爷之女,张大老爷,女,1,0.9
张大财主,净虚,施主,1,0.5
张若锦,贾宝玉,奴仆,1,0.6
张金哥,张大财主,女,1,0.9
彩云,王夫人,丫鬟,1,0.6
彩儿,贾惜春,丫鬟,1,0.6
彩屏,贾惜春,丫鬟,1,0.6
彩明,王熙凤,丫鬟,1,0.6
彩霞,王夫人,丫鬟,1,0.6
彩霞之母,彩霞,母亲,1,0.9
彩鸾,王夫人,丫鬟,1,0.6
戴权,皇帝,臣,1,0.7
扫红,贾宝玉,奴仆,1,0.6
扫花,贾宝玉,奴仆,1,0.6
抱琴,贾元春,丫鬟,1,0.6
文官,贾母,丫鬟,1,0.6
文杏,薛宝钗,丫鬟,1,0.6
文花,贾珍,妾,1,0.7
新进来的奶子,贾兰,奶妈,1,0.7
旺儿媳妇,王熙凤,丫鬟,1,0.6
春纤,林黛玉,丫鬟,1,0.6
昭儿,贾琏,奴仆,1,0.6
晴雯,贾宝玉,丫鬟,1,0.6
智善,净虚,徒弟,1,0.7
智善,净虚,徒弟,1,0.7
智能儿,净虚,徒弟,1,0.7
智能儿,秦钟,女友,1,0.9
智通,净虚,徒弟,1,0.7
智通,净虚,徒弟,1,0.7
李公子,张金哥,雇主,1,0.5
李妈,贾巧姐,乳母,1,0.6
李婶,李守中,弟媳,1,0.8
李婶之弟,李婶,弟,1,0.8
李嬷嬷,贾宝玉,乳母,1,0.6
李嬷嬷孙子,贾宝玉,奴仆,1,0.6
李守中,李纨,父亲,1,0.9
李纨,贾珠,妻,1,1
李纹,李婶,女,1,0.9
李绮,李婶,女,1,0.9
李贵,李嬷嬷,子,1,0.9
杏奴,柳湘莲,奴仆,1,0.6
来喜家的,王熙凤,奴仆,1,0.6
来旺儿,王熙凤,奴仆,1,0.6
林之孝,林红玉,父亲,1,0.9
林如海,贾敏,夫,1,1
林如海之子,林如海,子,1,0.9
林如海之父,林如海,父亲,1,0.9
林如海之祖,林如海,祖父,1,0.7
林红玉,王熙凤,丫鬟,1,0.6
林黛玉,林如海,女,1,0.9
柳二媳妇的妹子,柳五儿,妹,1,0.8
柳五儿,贾宝玉,丫鬟,1,0.6
梅翰林,梅翰林之子,父亲,1,0.9
梅翰林之子,薛宝琴,夫,1,1
檀云,贾宝玉,丫鬟,1,0.6
湘云母,史湘云爷爷,儿媳,1,0.7
潘又安,秦思祺,男友,1,0.9
炒豆儿,尤氏,丫鬟,1,0.6
焦大,贾演,奴仆,1,0.6
焦大,贾演,奴仆,1,0.6
王仁,王夫人之大兄凤姐之父,子,1,0.9
王住儿媳妇,迎春乳母,子媳,1,0.7
王信,贾琏,奴仆,1,0.6
王信媳妇,贾琏,奴仆,1,0.6
王善保,邢夫人,奴仆,1,0.6
王夫人,凤姐之祖王夫人之父,女,1,0.9
王夫人,贾政,妻,1,1
王夫人之大兄凤姐之父,凤姐之祖王夫人之父,子,1,0.9
王嬷嬷,林黛玉,乳母,1,0.6
王嬷嬷,贾宝玉,乳母,1,0.6
王子胜,凤姐之祖王夫人之父,子,1,0.9
王子腾,凤姐之祖王夫人之父,子,1,0.9
王子腾之女,王子腾,女,1,0.9
王子腾夫人,王子腾,妻,1,1
王成,王成父,子,1,0.9
王成父,凤姐之祖王夫人之父,侄,1,0.7
王板儿,王狗儿,子,1,0.9
